Messstellennummer;Datum;Parameter;Einheit;Messwert
10421;2020-05-13;Naphtalin;µg/l;-0,01
10421;2020-05-13;Acenaphthylen;µg/l;-0,01
10421;2020-05-13;Acenaphthen;µg/l;0,00
10421;2020-05-13;Fluoren;µg/l;0,00
10421;2020-05-13;Phenanthren;µg/l;0,00
10421;2020-05-13;Anthracen;µg/l;-0,01
10421;2020-05-13;Fluoranthen;µg/l;0,00
10421;2020-05-13;Pyren;µg/l;0,00
10421;2020-05-13;Benz-a-Anthracen;µg/l;0,00
10421;2020-05-13;Chrysen;µg/l;0,00
10421;2020-05-13;Benz-b-Fluoranthen;µg/l;0,00
10421;2020-05-13;Benz-k-Fluoranthen;µg/l;0,00
10421;2020-05-13;Benz-a-Pyren;µg/l;0,00
10421;2020-05-13;Dibenz-a,h-Anthracen;µg/l;0,00
10421;2020-05-13;Benz-g,h,i-Perylen;µg/l;0,00
10421;2020-05-13;Indeno-1,2,3-cd-Pyr.;µg/l;0,00
10421;2020-05-13;Summe Na+Cl;mg/l;105,00
10421;2020-05-13;Ionenbilanz (Labor);ohne Einheit;-4,80
10421;2020-11-16;Temperatur (Luft);grd Celsius;12,00
10421;2020-11-16;pH-Wert (Feld);ohne Einheit;7,10
10421;2020-11-16;Temperatur (Wasser);grd C;11,10
10421;2020-11-16;Leitfähigkeit 25°C vor Ort;µS/cm;1044,00
10421;2020-11-16;Wasserst.(ROK) vor;m;2,43
10421;2020-11-16;Wasserst.(ROK) nach;m;2,52
10421;2020-11-16;Entnahmeteufe (ROK);m unter ROK;4,00
10421;2020-11-16;Förderrate;l/s;0,25
10421;2020-11-16;Redox Pumpbeginn;mV;-20,00
10421;2020-11-16;O2-Gehalt Pumpbeg.;mg/l;0,00
10421;2020-11-16;Redox Pumpende;mV;-32,00
10421;2020-11-16;pH Pumpende;ohne Einheit;7,10
10421;2020-11-16;O2-Gehalt Pumpende;mg/l;0,00
10421;2020-11-16;Chlorid;mg/l;89,00
10421;2020-11-16;Fluorid;mg/l;0,24
10421;2020-11-16;Hydrogenkarbonat;mg/l;272,10
10421;2020-11-16;Nitrit (N);mg/l N;-0,01
10421;2020-11-16;Nitrat (N);mg/l N;-0,02
10421;2020-11-16;Ortho-Phosphat (P);mg/l P;-0,01
10421;2020-11-16;Sulfat;mg/l;206,00
10421;2020-11-16;Cyanide (ges.);mg/l;0,00
10421;2020-11-16;Bromid;mg/l;-0,10
10421;2020-11-16;Nitrit;mg/l;-0,03
10421;2020-11-16;Nitrat;mg/l;-0,09
10421;2020-11-16;Ortho-Phosphat;mg/l;-0,03
10421;2020-11-16;Ammonium (N);mg/l N;0,03
10421;2020-11-16;Eisen-2;mg/l;1,40
10421;2020-11-16;Eisen (ges.);mg/l;1,40
10421;2020-11-16;Kalium;mg/l;2,36
10421;2020-11-16;Kalzium;mg/l;151,00
10421;2020-11-16;Magnesium;mg/l;19,40
10421;2020-11-16;Natrium;mg/l;34,70
10421;2020-11-16;Mangan;mg/l;0,07
10421;2020-11-16;Ammonium;mg/l;0,04
10421;2020-11-16;Leitfähigkeit /Lab. bei 25°C;µS/cm;1053,00
10421;2020-11-16;UV-Adsorption (254);1/m;2,60
10421;2020-11-16;CSV (KMNO4);mg/l O2;0,54
10421;2020-11-16;Basenkap. bis 8.2;mmol/l;0,48
10421;2020-11-16;Säure-Kap. bis 4.3;mmol/l;4,46
10421;2020-11-16;Kohlenstoff (organ.);mg/l C;1,50
10421;2020-11-16;pH-Wert /Lab.;ohne Einheit;7,10
10421;2020-11-16;Gesamthärte;mmol/l;4,58
10421;2020-11-16;Karbonathärte;mmol/l;2,23
10421;2020-11-16;AOX;µg/l;-10,00
10421;2020-11-16;Phenolindex (ges.);µg/l;-14,00
10421;2020-11-16;LHKW (Summe);µg/l;-0,10
10421;2020-11-16;BTXE (Summe);µg/l;-0,10
10421;2020-11-16;Arsen;µg/l;1,00
10421;2020-11-16;Barium;µg/l;91,00
10421;2020-11-16;Blei;µg/l;-0,10
10421;2020-11-16;Bor;µg/l;21,00
10421;2020-11-16;Cadmium;µg/l;-0,03
10421;2020-11-16;Chrom;µg/l;-0,10
10421;2020-11-16;Kupfer;µg/l;-0,10
10421;2020-11-16;Aluminium-gelöst;µg/l;2,80
10421;2020-11-16;Molybdän;µg/l;1,00
10421;2020-11-16;Nickel;µg/l;-0,10
10421;2020-11-16;Quecksilber;µg/l;-0,01
10421;2020-11-16;Selen;µg/l;-0,90
10421;2020-11-16;Zink;µg/l;4,50
10421;2020-11-16;Vanadium;µg/l;-0,10
10421;2020-11-16;Thallium;µg/l;-0,05
10421;2020-11-16;Uran;µg/l;-0,05
10421;2020-11-16;Dichlormethan;µg/l;-0,10
10421;2020-11-16;Trichlormethan;µg/l;-0,10
10421;2020-11-16;Tetrachlormethan;µg/l;-0,10
10421;2020-11-16;1,2-Dichlorethan;µg/l;-0,10
10421;2020-11-16;cis-1,2-Dichloreth.;µg/l;-0,10
10421;2020-11-16;1,1,1-Tri-Cl-Ethan;µg/l;-0,10
10421;2020-11-16;Trichlorethen;µg/l;-0,10
10421;2020-11-16;Tetrachlorethen;µg/l;-0,10
10421;2020-11-16;Vinylchlorid;µg/l;-0,10
10421;2020-11-16;trans-1,2-Dichloret.;µg/l;-0,10
10421;2020-11-16;Benzen;µg/l;-0,10
10421;2020-11-16;Ethylbenzen;µg/l;-0,10
10421;2020-11-16;Toluen;µg/l;-0,10
10421;2020-11-16;Xylen (meta/para);µg/l;-0,10
10421;2020-11-16;Xylen (ortho);µg/l;-0,10
10421;2020-11-16;Cumol;µg/l;-0,10
10421;2020-11-16;Naphtalin;µg/l;-0,01
10421;2020-11-16;Acenaphthylen;µg/l;-0,01
10421;2020-11-16;Acenaphthen;µg/l;0,00
10421;2020-11-16;Fluoren;µg/l;0,01
10421;2020-11-16;Phenanthren;µg/l;0,01
10421;2020-11-16;Anthracen;µg/l;-0,01
10421;2020-11-16;Fluoranthen;µg/l;0,01
10421;2020-11-16;Pyren;µg/l;0,01
10421;2020-11-16;Benz-a-Anthracen;µg/l;0,00
10421;2020-11-16;Chrysen;µg/l;0,00
10421;2020-11-16;Benz-b-Fluoranthen;µg/l;0,00
10421;2020-11-16;Benz-k-Fluoranthen;µg/l;0,00
10421;2020-11-16;Benz-a-Pyren;µg/l;0,00
10421;2020-11-16;Dibenz-a,h-Anthracen;µg/l;0,00
10421;2020-11-16;Benz-g,h,i-Perylen;µg/l;0,00
10421;2020-11-16;Indeno-1,2,3-cd-Pyr.;µg/l;0,00
10421;2020-11-16;Summe Na+Cl;mg/l;123,70
10421;2020-11-16;Ionenbilanz (Labor);ohne Einheit;-4,30
10421;2021-05-19;Temperatur (Luft);grd Celsius;16,00
10421;2021-05-19;pH-Wert (Feld);ohne Einheit;7,30
10421;2021-05-19;Temperatur (Wasser);grd C;11,40
10421;2021-05-19;Leitfähigkeit 25°C vor Ort;µS/cm;1083,00
10421;2021-05-19;Wasserst.(ROK) vor;m;2,41
10421;2021-05-19;Wasserst.(ROK) nach;m;2,49
10421;2021-05-19;Entnahmeteufe (ROK);m unter ROK;5,00
10421;2021-05-19;Förderrate;l/s;0,17
10421;2021-05-19;Redox Pumpbeginn;mV;45,00
10421;2021-05-19;O2-Gehalt Pumpbeg.;mg/l;0,18
10421;2021-05-19;Redox Pumpende;mV;13,00
10421;2021-05-19;pH Pumpende;ohne Einheit;7,30
10421;2021-05-19;O2-Gehalt Pumpende;mg/l;0,00
10421;2021-05-19;Chlorid;mg/l;90,00
10421;2021-05-19;Fluorid;mg/l;0,25
10421;2021-05-19;Hydrogenkarbonat;mg/l;284,30
10421;2021-05-19;Nitrit (N);mg/l N;-0,01
10421;2021-05-19;Nitrat (N);mg/l N;-0,02
10421;2021-05-19;Ortho-Phosphat (P);mg/l P;-0,01
10421;2021-05-19;Sulfat;mg/l;211,00
10421;2021-05-19;Cyanide (ges.);mg/l;0,00
10421;2021-05-19;Bromid;mg/l;-0,10
10421;2021-05-19;Nitrit;mg/l;-0,03
10421;2021-05-19;Nitrat;mg/l;-0,09
10421;2021-05-19;Ortho-Phosphat;mg/l;-0,03
10421;2021-05-19;Ammonium (N);mg/l N;0,04
10421;2021-05-19;Eisen-2;mg/l;1,44
10421;2021-05-19;Eisen (ges.);mg/l;1,50
10421;2021-05-19;Kalium;mg/l;2,66
10421;2021-05-19;Kalzium;mg/l;160,00
10421;2021-05-19;Magnesium;mg/l;20,30
10421;2021-05-19;Natrium;mg/l;36,60
10421;2021-05-19;Mangan;mg/l;0,07
10421;2021-05-19;Ammonium;mg/l;0,05
10421;2021-05-19;Leitfähigkeit /Lab. bei 25°C;µS/cm;1079,00
10421;2021-05-19;UV-Adsorption (254);1/m;2,84
10421;2021-05-19;CSV (KMNO4);mg/l O2;0,56
10421;2021-05-19;Basenkap. bis 8.2;mmol/l;0,54
10421;2021-05-19;Säure-Kap. bis 4.3;mmol/l;4,66
10421;2021-05-19;Kohlenstoff (organ.);mg/l C;1,90
10421;2021-05-19;pH-Wert /Lab.;ohne Einheit;7,20
10421;2021-05-19;Gesamthärte;mmol/l;4,83
